location_name,year,age_group,sex_name,val_total,val_hbm,percent_hbm,percent_change_from_2015
Netherlands,2021,40 and above,Female,8523.803746766322,39.99657855522309,0.4692339211868481,10.150722784755406
Netherlands,2021,40 and above,Male,8888.250494693233,14.27609087528154,0.1606175577950367,10.582784689411545
Netherlands,2021,Under 40,Female,9.970791474934796,0.5899256763242504,5.916538098377071,15.128645061723189
Netherlands,2021,Under 40,Male,7.488746879030363,0.1233696800220279,1.6474008537727705,-23.263641600750205
Nigeria,2015,40 and above,Female,14896.284228060871,1177.8196470967596,7.90680164975667,0.0
Nigeria,2015,40 and above,Male,20284.96629226172,866.8648165959022,4.273434838916112,0.0
Nigeria,2015,Under 40,Female,285.10353251820686,33.401064983754296,11.715416041581769,0.0
Nigeria,2015,Under 40,Male,314.87797388932887,30.040658908547783,9.540412921707336,0.0
Nigeria,2016,40 and above,Female,15491.072786266286,1230.849804134057,7.945542707831539,0.4899712904276615
Nigeria,2016,40 and above,Male,20287.398335489062,873.4932576727361,4.3055952430564775,0.7525656843412354
Nigeria,2016,Under 40,Female,292.48359492739445,34.35901371115393,11.747330211693802,0.27241175216278896
Nigeria,2016,Under 40,Male,319.6061289001349,30.73305951877124,9.615916823789757,0.7914112596806615
Nigeria,2017,40 and above,Female,15889.270691635737,1273.4784775947096,8.014706919588706,1.3647145155760456
Nigeria,2017,40 and above,Male,20132.20234707641,873.0328167105736,4.336499314181367,1.47573269845974
Nigeria,2017,Under 40,Female,293.9571616091348,34.80776223739826,11.84110026333735,1.0728105712122138
Nigeria,2017,Under 40,Male,320.0464170404326,31.04179244468875,9.699153245251653,1.6638726735101175
Nigeria,2018,40 and above,Female,16248.731720691248,1306.6154009023576,8.041337769387283,1.7015238979057108
Nigeria,2018,40 and above,Male,20054.82971758344,880.5280722391426,4.390603583470586,2.7417931703901313
Nigeria,2018,Under 40,Female,292.9422071056194,34.74143598069939,11.859484614374288,1.2297350113830732
Nigeria,2018,Under 40,Male,319.3525369516215,31.314293841048855,9.805556624024138,2.7791638002745116
Nigeria,2019,40 and above,Female,16597.145913380853,1344.9344547279643,8.103408030194272,2.486547521318585
Nigeria,2019,40 and above,Male,19948.69199811193,881.7943391919188,4.420311563662305,3.4369712019160317
Nigeria,2019,Under 40,Female,295.65652527616277,35.2686234324757,11.928917651836864,1.8223988759537826
Nigeria,2019,Under 40,Male,316.92323450868133,31.3159184310362,9.881231484837183,3.5723670026313172
Nigeria,2020,40 and above,Female,17061.423756587665,1392.941601038233,8.164275273336424,3.2563561726336827
Nigeria,2020,40 and above,Male,19866.96715986378,884.6699862426294,4.452969490128735,4.201179097846261
Nigeria,2020,Under 40,Female,299.88388986959586,36.089418920043585,12.034464050648744,2.723317788583619
Nigeria,2020,Under 40,Male,316.90743254107525,31.6987234678641,10.002518152916954,4.843660698984928
Nigeria,2021,40 and above,Female,17788.849686572692,1458.3515350817347,8.198121636738106,3.6844226007667853
Nigeria,2021,40 and above,Male,19830.715318052815,897.7567523571148,4.527102214713583,5.935913038557296
Nigeria,2021,Under 40,Female,309.04618526572045,37.53764906326576,12.146291024751068,3.6778461954742916
Nigeria,2021,Under 40,Male,321.61609799080986,32.61623088611938,10.141355202640192,6.2989126976415175
United States of America,2015,40 and above,Female,174088.08631806343,1321.6944759985429,0.7592101814387072,0.0
United States of America,2015,40 and above,Male,166538.11951042572,740.7516142522985,0.4447940305978569,0.0
United States of America,2015,Under 40,Female,350.4105363471968,46.8856854967767,13.380215670889822,0.0
United States of America,2015,Under 40,Male,396.5992177875506,53.105199459077454,13.39014225880918,0.0
United States of America,2016,40 and above,Female,178262.0807204998,1328.6416703953896,0.745330507208984,-1.8281728260573633
United States of America,2016,40 and above,Male,171666.24980953534,737.4309445208413,0.4295724671209542,-3.4221600178498477
United States of America,2016,Under 40,Female,362.572527428862,50.346962789122855,13.886039062626196,3.780382948810389
United States of America,2016,Under 40,Male,421.7159089196776,55.14077212625706,13.075336016493388,-2.3510298563757597
United States of America,2017,40 and above,Female,182488.0790079992,1329.3251697695348,0.7284449356887938,-4.052269911819828
United States of America,2017,40 and above,Male,175535.7082425905,769.3605372739216,0.4382928949195138,-1.4616058739827924
United States of America,2017,Under 40,Female,375.6970828812923,49.59972962293562,13.202053431595973,-1.3315348846092316
United States of America,2017,Under 40,Male,407.68999041979725,53.54397970033334,13.133503632306317,-1.916623599230425
United States of America,2018,40 and above,Female,182630.4545572789,1293.8038206432511,0.7084272027792998,-6.688922237999153
United States of America,2018,40 and above,Male,176922.4877637561,777.1532756465228,0.4392620098606416,-1.2437263894435713
United States of America,2018,Under 40,Female,363.2155765617957,48.2324039446787,13.279277392574237,-0.7543845390712773
United States of America,2018,Under 40,Male,400.6023082342362,52.910241546372944,13.207672661595298,-1.362715897165597
United States of America,2019,40 and above,Female,183329.0368129051,1282.0056745062582,0.6992922107666981,-7.892145302696578
United States of America,2019,40 and above,Male,177458.54616379042,784.2365192316524,0.4419265998650857,-0.6446648415935367
United States of America,2019,Under 40,Female,383.3302360411539,55.05234949590245,14.361598517366131,7.334581673533254
United States of America,2019,Under 40,Male,413.60531631820425,57.5819410226674,13.921953792868358,3.9716645557615893
United States of America,2020,40 and above,Female,185700.95249064357,1282.0825754464715,0.6904017229050392,-9.063163299954121
United States of America,2020,40 and above,Male,179908.19749363232,780.2193334827552,0.4336763662536113,-2.499508441986535
United States of America,2020,Under 40,Female,379.3923913222049,54.787036237376505,14.440731414365072,7.925998874461511
United States of America,2020,Under 40,Male,408.85677072933566,57.90647370982181,14.163021834400796,5.772004215139316
United States of America,2021,40 and above,Female,189652.50013121084,1304.5644246008792,0.6878709343131876,-9.396508222575651
United States of America,2021,40 and above,Male,184880.79841853265,792.2864683530629,0.4285390776815486,-3.6544898982703695
United States of America,2021,Under 40,Female,374.45859943424665,54.324864035646385,14.507575501730626,8.425572939706075
United States of America,2021,Under 40,Male,392.64461751607746,55.20644284709891,14.06015526109648,5.0037780729813255
